"","ensembl.id","Symbol","moduleColor","GS.AUC.urea","GS.prot.int","GS.carb.int","GS.fgf21.serum","GS.creat.D2","p.GS.AUC.urea","p.GS.prot.int","p.GS.carb.int","p.GS.fgf21.serum","p.GS.creat.D2","MM.paleturquoise","p.MM.paleturquoise","MM.maroon","p.MM.maroon","MM.darkseagreen4","p.MM.darkseagreen4","MM.lightsteelblue1","p.MM.lightsteelblue1","MM.cyan","p.MM.cyan","MM.darkred","p.MM.darkred","MM.darkslateblue","p.MM.darkslateblue","MM.skyblue1","p.MM.skyblue1","MM.skyblue2","p.MM.skyblue2","MM.plum2","p.MM.plum2","MM.darkorange","p.MM.darkorange","MM.mediumorchid","p.MM.mediumorchid","MM.grey","p.MM.grey"
"ENSMUSG00000002326","ENSMUSG00000002326","Gmpr2","maroon",-0.445652568883807,-0.645208021672761,0.612037146639238,0.517158904811132,-0.385955510915636,0.048917984088544,0.00212640463953178,0.00412932262206606,0.0195377063892316,0.0928098764142579,0.393331212802449,0.086213960782802,0.867354982420099,7.38644071931398e-07,-0.213546863700732,0.365990694480714,-0.62212416306446,0.00340089894821625,-0.594018897921018,0.00575076172341639,0.00999185056557567,0.966651381034873,0.515068556619796,0.0201232696897033,0.338053710895812,0.144895197856582,0.15573458686658,0.512055735910849,-0.00857916659300604,0.971364326389448,-0.21619298411692,0.359938294594638,-0.0609484779781192,0.798525268754098,-0.010590338215744,0.964655040383137
"ENSMUSG00000040181","ENSMUSG00000040181","Fmo1","maroon",-0.44025652586754,-0.638364067367157,0.403288375309534,0.51690543761381,-0.400353061602466,0.0520570076085374,0.00245354198311891,0.0778665879522445,0.0196079769392658,0.0802620971047554,0.46389873382487,0.0393678124943849,0.864765836243257,8.70378668416374e-07,-0.191175285112049,0.419436468840381,-0.531791670640247,0.0158087234968635,-0.75071043224445,0.000136934972620165,0.333744668813468,0.150415903281693,0.450540770825834,0.0462015259201632,0.505832708922325,0.0228799085677882,-0.0701874762256731,0.768727750682006,-0.111990905875031,0.63830260339617,-0.231873689421501,0.325265878641608,-0.199457722478129,0.399180146705868,-0.0615144583443406,0.796691696801035
"ENSMUSG00000002688","ENSMUSG00000002688","Prkd1","maroon",-0.489640511672407,-0.651914678278424,0.573534013968345,0.516711775211421,-0.571807613609525,0.0284281228621716,0.00184202621762368,0.0081958431780905,0.0196618030138242,0.00843567102365313,0.203748798071503,0.388901160938686,0.547406436337345,0.0124828433499698,-0.00501985609585546,0.983242484790047,-0.330197937362759,0.155068535743412,-0.548481562166627,0.012276500656048,0.139617322576133,0.557155904523175,0.227394437300316,0.334960600346512,0.387703823284696,0.0912139893575451,-0.0161295107618227,0.946189442077663,-0.0951513626078699,0.689865437002651,-0.266541736244527,0.255973509123496,-0.254494392719881,0.278895527072194,0.124235602431995,0.601772647256422
"ENSMUSG00000047766","ENSMUSG00000047766","Lrrc49","maroon",-0.431230081965193,-0.493479019168551,0.44624982847749,0.501472083834267,-0.317542079783362,0.0576489000754472,0.0270260391021011,0.0485796667674713,0.0242814019491311,0.172481658011253,0.291631744138389,0.212186180646696,0.792643810868794,3.0832449492698e-05,-0.120628122130643,0.61244536836519,-0.563742389371084,0.00963315634991387,-0.6950871568456,0.000669293062583773,0.15762473984449,0.506883370572861,0.479966654118974,0.0322160260497337,0.374795271130573,0.103482855758261,0.0223569918188149,0.925461223629246,-0.179107096626748,0.449914528640825,-0.366940232110912,0.111511116577865,-0.162391242348297,0.493952368543784,-0.0979631042616819,0.681156271590075
"ENSMUSG00000023913","ENSMUSG00000023913","Pla2g7","maroon",-0.455238490832743,-0.751341644841582,0.642324573662501,0.497125105623486,-0.577928057326753,0.0437016628210446,0.000134185179674688,0.00225947976821806,0.0257452538766843,0.0076104490309355,0.445490267148623,0.0490102310423708,0.760174426811443,0.000100390106075833,-0.333916451020312,0.15019305531383,-0.706616960583344,0.000496018113273381,-0.45163688629424,0.04560863675262,-0.117899560687034,0.620568171623384,0.623707572327784,0.00329690114266404,0.112112105633167,0.637936881714528,0.346779272137329,0.134153624364785,0.16206756207223,0.494825338975133,-0.118811799812837,0.6178477079526,0.119040405262808,0.617166712787987,-0.0285306572687198,0.904957643416292
"ENSMUSG00000008540","ENSMUSG00000008540","Mgst1","maroon",-0.359159995525612,-0.636264571630534,0.494914663807301,0.497089253147561,-0.476044547623128,0.119896052715144,0.00256192986229532,0.0265158724322008,0.0257576103154507,0.0338597181399528,0.470190233352412,0.036434095267326,0.824870165232551,7.64729121333497e-06,-0.42709684799023,0.0603565964378749,-0.763442437547903,8.98935500628005e-05,-0.354404234706951,0.125238264918228,-0.0718684747865985,0.763338334533126,0.706347175930596,0.000499586371400039,-0.0451964500558404,0.849931390533445,0.243916972454462,0.300038409789181,0.0894627106676002,0.707599905934567,-0.0949967660463295,0.690345390976897,0.289209300556245,0.216182500198774,-0.0787116878053301,0.741508809023272
"ENSMUSG00000040584","ENSMUSG00000040584","Abcb1a","maroon",-0.178880403516197,-0.758116762928724,0.718220473058901,0.495602283645829,-0.508546410588472,0.450497771700688,0.000107525619086109,0.000361691025802107,0.0262742267436818,0.0220406362433067,0.144366554481786,0.543684855347814,0.759153223635742,0.000103878804461598,0.0325591366070305,0.891608881668651,-0.39570173553816,0.0841693881105169,-0.509672821296608,0.0216995307358646,-0.049585295274645,0.835540735059068,0.278874989808093,0.233784849538313,0.475031634738357,0.0342946646321976,-0.0675393842926991,0.77723841593648,-0.0602074222338986,0.800927556416761,-0.310312167241787,0.183006648490669,-0.241544087689488,0.304911935919759,-0.250773435177992,0.286224826675415
"ENSMUSG00000038415","ENSMUSG00000038415","Foxq1","maroon",-0.39510256881581,-0.526752017887638,0.450435076805732,0.486398514196819,-0.298070570437298,0.0846827496181444,0.0170222032382232,0.0462590075180115,0.0296563253743773,0.201802201709783,0.314985741939642,0.176154639811734,0.832817054718845,5.19237868454921e-06,-0.190463340527325,0.42120301375331,-0.609358961889071,0.00434302925530452,-0.627178959307473,0.00307811904283634,0.148498958654385,0.532085404201021,0.522798910994017,0.0180253190422722,0.207512677601886,0.380007602577117,0.262474298311042,0.263574408587015,-0.0523886899721089,0.826374613007634,-0.316814429967961,0.173521782262271,-0.0461835009135043,0.846690784487635,-0.109644863470018,0.645397575982018
"ENSMUSG00000020484","ENSMUSG00000020484","Xbp1","maroon",-0.293190378318686,-0.760510418484632,0.706435976916022,0.475187817949175,-0.545718780692295,0.209640841927415,9.92645062398889e-05,0.000498409461922051,0.0342273166284355,0.012812389240429,0.292800159537374,0.21027618714807,0.886103637419917,2.01233315440394e-07,-0.146472002259898,0.537760627745523,-0.66790957334203,0.00128966511899066,-0.588096661364658,0.00638597300415736,-0.0502045269209187,0.833514264154002,0.518867262806554,0.0190693059332973,0.245173508313808,0.297477020604511,0.313144478139384,0.178832959150916,0.124793968401087,0.600127600312226,-0.305919203784971,0.189609706707433,-0.0725970008177844,0.761005857784879,-0.29048727557681,0.214068095044774
"ENSMUSG00000035681","ENSMUSG00000035681","Kcnc2","maroon",-0.331645220212858,-0.604312862990926,0.364878615491064,0.461178790205911,-0.550687284297965,0.153158078314048,0.00477054274170807,0.113690545448334,0.0406913960524788,0.0118617971613608,0.397497101956494,0.0826449034077676,0.766920100379898,7.97737954718794e-05,-0.243063491338235,0.301785827658763,-0.530343440053976,0.016150094117651,-0.514002534358318,0.0204272257987658,0.200310991842157,0.397124394234784,0.476390828837579,0.0337120161071525,0.224502012887666,0.341310195653292,0.151577370190003,0.523519647356276,0.226707416676128,0.336462445046403,-0.16335035038104,0.491370069400417,-0.00280254737973387,0.99064397432311,0.0366550531059294,0.878065401037887
"ENSMUSG00000046380","ENSMUSG00000046380","Jrk","maroon",-0.411279046312383,-0.552336521354992,0.416027286638193,0.452784217731508,-0.311311827752158,0.0716148824016803,0.0115591861817123,0.0680824427644096,0.0449943322777956,0.181526091382888,0.410403522786654,0.072280921279061,0.687479613655393,0.000809697887238998,-0.235097878505271,0.318391992622329,-0.328141270760899,0.157811735709103,-0.329004776302288,0.156655925399279,0.171836050034152,0.468815225151086,0.278741104043178,0.234018804254595,0.339672180627471,0.142858747705245,-0.284151944814057,0.224684309246718,-0.342465624266722,0.139391232496664,0.0194848794146583,0.935016111334316,-0.00733952568700153,0.975500729731218,0.194275791747127,0.41178979212797
"ENSMUSG00000037946","ENSMUSG00000037946","Fgd3","maroon",-0.391414257869174,-0.580709323706111,0.490388448170304,0.447692380911509,-0.457292473016688,0.0878939383912163,0.00725792029068803,0.0281505355136734,0.0477699325719746,0.0426419992027831,0.402998155633229,0.0781010385576279,0.765041205962409,8.5112037129092e-05,-0.212730205717152,0.367870258337011,-0.47189799001051,0.0356679026061191,-0.461487023103798,0.040539696778683,0.181982893769217,0.442549647720976,0.280516357872092,0.230928998995454,0.309794284204436,0.183776869748566,0.36214184565165,0.116630815813418,0.0505250627895337,0.8324656883006,-0.0465799519564554,0.845389852032434,-0.0892761928274329,0.708183898298273,-0.438955808426914,0.05283617056307
"ENSMUSG00000027870","ENSMUSG00000027870","Hao2","maroon",-0.413561090175617,-0.661637283086684,0.480691102276617,0.444722215848646,-0.468101214146792,0.0699004451534745,0.00148678393132524,0.0319193722997103,0.049448575200528,0.0373886840244034,0.516258848698464,0.0197881481857956,0.95232093061215,1.01671378808754e-10,-0.367617647301226,0.110801607481282,-0.743273467066659,0.000173155017461898,-0.558002189343247,0.0105668744602109,0.117000633835229,0.623253583917652,0.653906922379852,0.00176396540642942,0.11735972397734,0.622180303099462,0.162058774490963,0.494849049710645,0.000780843273779673,0.997393182035843,-0.145321452866886,0.540994325708334,0.125203848736949,0.598921203587549,-0.00721012744006719,0.975932539086164
"ENSMUSG00000006611","ENSMUSG00000006611","Hfe","maroon",-0.343162085592315,-0.524539124358009,0.381383118531004,0.441706666846436,-0.32282732483095,0.138536011448796,0.017578068415914,0.0970802895001079,0.0511987139954099,0.165054492557247,0.592522681637017,0.00590611062248478,0.817787686049945,1.06293976701132e-05,-0.523455853863605,0.0178554224110011,-0.73862959468601,0.000199700557161996,-0.347299128937516,0.133531939782219,0.0284079010896934,0.905364811556704,0.69452587104014,0.000678893627770029,-0.0247895797445533,0.917376165475357,0.227414565721866,0.334916658698792,0.0396229390909527,0.868271970878045,0.0227007685505242,0.92431818706382,0.31417964863178,0.17732380741548,-0.160501316249491,0.499060144444003
"ENSMUSG00000059834","ENSMUSG00000059834","Sclt1","maroon",-0.304559817427971,-0.538793710148924,0.381649221127931,0.432545755226356,-0.593400523710857,0.191685066012438,0.0142389769211499,0.0968279000126888,0.0568066494418856,0.0058145535926449,0.232562640483642,0.323789698360845,0.672093587833346,0.00117079674309343,0.00785492879634217,0.973780866321713,-0.412910524972906,0.0703860293360638,-0.743470144893865,0.000172100974203928,0.271723825226673,0.246493308099017,0.340020072458332,0.142423644173403,0.453067338837178,0.0448437280016873,-0.028309054397659,0.90569269120639,0.0392475349841068,0.86950973875895,-0.394282235774377,0.0853893511733844,-0.310252773226465,0.183094871076733,-0.145664998223685,0.540027839016429
"ENSMUSG00000021039","ENSMUSG00000021039","Snw1","maroon",-0.473204400685486,-0.607071609744296,0.563522619608826,0.431457696699923,-0.397310667241197,0.0350902923408613,0.00453271352279646,0.00966762404581044,0.0575025147508761,0.0828022511559671,0.400330494222892,0.0802807236100499,0.833528945731653,5.01051995709029e-06,-0.160743629231467,0.498403831887684,-0.419456196626041,0.0656140516834662,-0.533520681016332,0.0154087781853821,0.17484664006201,0.460941099252447,0.257309965119957,0.273427873825515,0.507000936122109,0.0225155567530373,0.0619231588909541,0.795368291457866,-0.0933827049187954,0.695363104276998,-0.091417311318941,0.701489506509929,-0.198868835943963,0.400602336359735,-0.167086876714389,0.481373420827795
"ENSMUSG00000059970","ENSMUSG00000059970","Hspa2","maroon",-0.0457243567770335,-0.44747533813072,0.442759742178263,0.423807982814313,-0.190570841712133,0.848197918062018,0.0478910965871394,0.0505822423436605,0.0625790435532485,0.420936016168822,0.302952775907624,0.194158136981744,0.740123860407039,0.000190803368283406,-0.163076702352557,0.492106162265386,-0.418545179460305,0.0662631948180028,-0.354311731419823,0.125343826713221,0.021224746988766,0.929226851097397,0.320074859887652,0.168894471422631,0.257146467624679,0.273743530354432,0.110398796286435,0.643114254627291,-0.0916596568082967,0.700733114109823,-0.0835424219485883,0.72621160337327,-0.002957073776597,0.990128126746205,-0.258985978996099,0.270205193494744
