"","ensembl.id","Symbol","moduleColor","GS.FGF21","MM.darkred","MM.salmon4"
"1","ENSMUSG00000068739","Sars","darkred",0.919025348409584,0.934396768295537,0.784581553486097
"2","ENSMUSG00000030905","Crym","darkred",0.88724901052328,0.884729844520818,0.716851689033525
"3","ENSMUSG00000022868","Ahsg","darkred",0.868723482589995,0.924626818741396,0.829427632243179
"4","ENSMUSG00000042745","Id1","darkred",0.85674996206331,0.842484883539858,0.625583220293303
"5","ENSMUSG00000019806","Aig1","darkred",0.85569225087783,0.950171854077291,0.702569872554867
"6","ENSMUSG00000036292","Gramd1c","darkred",0.850966958957596,0.934807191219161,0.736637380971348
"7","ENSMUSG00000032399","Rpl4","darkred",0.842729210260215,0.969981486912213,0.71001720634883
"8","ENSMUSG00000091639","Gm3756","darkred",0.842062702550144,0.845895717553837,0.631215847468927
"9","ENSMUSG00000022790","Igsf11","darkred",0.840599376851817,0.882465948254997,0.836778607202702
"10","ENSMUSG00000027122","Arl14ep","darkred",0.838112773931314,0.890634885147392,0.721993697920746
"11","ENSMUSG00000020869","Lrrc59","darkred",0.836883626788529,0.943294558847447,0.745133596078288
"12","ENSMUSG00000107383","Gm4366","darkred",0.836593471047574,0.95193665601118,0.669510680924549
"13","ENSMUSG00000028466","Creb3","darkred",0.835376391648231,0.907703947023838,0.739674072506054
"14","ENSMUSG00000063200","Nol7","darkred",0.825303940147925,0.9175755765569,0.65058588705206
"15","ENSMUSG00000019814","Ltv1","darkred",0.823697633742086,0.956401451176637,0.653677038350699
"16","ENSMUSG00000033706","Smyd5","darkred",0.821241167239709,0.913696754060871,0.857872683590622
"17","ENSMUSG00000025351","Cd63","darkred",0.814840673566633,0.854800120667512,0.697961228670273
"18","ENSMUSG00000032353","Tmed3","darkred",0.808811700658113,0.949479047996572,0.643456199647464
"19","ENSMUSG00000039745","Htatip2","darkred",0.807776853674528,0.970328068315761,0.711431286190761
"20","ENSMUSG00000025134","Alyref","darkred",0.803143885673313,0.853454996151444,0.589351036511365
"21","ENSMUSG00000032553","Srprb","darkred",0.802874712604753,0.925236082670569,0.733392728027035
"22","ENSMUSG00000025364","Pa2g4","darkred",0.802162146773578,0.907377809116838,0.810721283900523
"23","ENSMUSG00000058672","Tubb2a","darkred",0.801557894163641,0.980129793137779,0.708842078306997
"24","ENSMUSG00000027613","Eif6","darkred",0.800219392543622,0.923711079070905,0.728422634785983
"25","ENSMUSG00000005667","Mthfd2","salmon4",0.948991137955422,0.822226970265677,0.852796979518891
"26","ENSMUSG00000028811","Yars","salmon4",0.946944424171991,0.817945965924489,0.868323305161221
"27","ENSMUSG00000037851","Iars","salmon4",0.942836347052637,0.849206800019687,0.906953216791935
"28","ENSMUSG00000029752","Asns","salmon4",0.940698364105796,0.775735024724728,0.850134439033988
"29","ENSMUSG00000010755","Cars","salmon4",0.938989562992102,0.801930307121164,0.790558754387655
"30","ENSMUSG00000040618","Pck2","salmon4",0.938139720709329,0.841720163580797,0.874974385496297
"31","ENSMUSG00000027111","Itga6","salmon4",0.935874395401484,0.807627006122261,0.901433689154241
"32","ENSMUSG00000025007","Aldh18a1","salmon4",0.935129965420317,0.870328746960064,0.825419014977015
"33","ENSMUSG00000038539","Atf5","salmon4",0.93029558488171,0.886635626497475,0.847327152755387
"34","ENSMUSG00000091867","Cyp2a22","salmon4",0.928813722891629,0.796619228577669,0.8384851945207
"35","ENSMUSG00000057722","Lepr","salmon4",0.925714652457288,0.783357266378365,0.872105265682629
"36","ENSMUSG00000010095","Slc3a2","salmon4",0.925009346869189,0.876036016141646,0.817659548558977
"37","ENSMUSG00000024587","Nars","salmon4",0.919271556480805,0.831851530751821,0.883058739228453
"38","ENSMUSG00000000958","Slc7a7","salmon4",0.917774149248946,0.76933405725329,0.85354251310421
"39","ENSMUSG00000028059","Arhgef2","salmon4",0.917434756116723,0.888325145830259,0.889757134327399
"40","ENSMUSG00000024493","Lars","salmon4",0.914677967986175,0.893112546966471,0.821645271064397
"41","ENSMUSG00000042589","Cux2","salmon4",0.914430083264987,0.825360204474665,0.827305443591783
